question,market_slug,status,end_date,description,outcomes,tags
[Single Market] Will Joe Rogan win the U.S. 2024 Republican presidential nomination?,will-joe-rogan-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Joe Rogan wins the 2024 nomination of the Republican Party for ...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Kanye West win the U.S. 2024 Republican presidential nomination?,will-kanye-west-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,"This market will resolve to “Yes” if Kanye West
wins the 2024 nomination of the Republican Party for...","Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Peter Thiel win the U.S. 2024 Republican presidential nomination?,will-peter-thiel-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Peter Thiel wins the 2024 nomination of the Republican Party fo...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
[Single Market] Will Donald Trump Jr. win the U.S. 2024 Republican presidential nomination?,will-donald-trump-jr-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Donald Trump Jr. wins the 2024 nomination of the Republican Par...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
"Will the Ethereum Merge (EIP-3675) occur by September 1, 2022?",will-the-ethereum-merge-eip-3675-occur-by-september-1-2022,Active,2022-09-01 00:00:00,This is a market on if The Merge will occur on the Ethereum mainnet as described in EIP-3675 (or any...,"Yes: 0, No: 1",All
Will the clob strapi integration work?,will-the-clob-strapi-integration-work,Inactive,2022-02-19 00:00:00,This is a test market....,,
Who will win the $1M bet on LUNA's price being over $92.40: Do Kwon or Sensei Algod?,who-will-win-the-1m-bet-on-terras-luna-price-being-over-92pt40-do-kwon-or-algod,Active,2023-03-14 00:00:00,"On March 14, 2022, Do Kwon (@stablekwon) and Sensei Algod (@AlgodTrading) made a bet on whether the ...","Do Kwon: 0, Sensei Algod: 1",All
"Will the Ethereum Merge (EIP-3675) occur by October 1, 2022?",will-the-ethereum-merge-eip-3675-occur-by-october-1-2022,Active,2022-10-01 00:00:00,This is a market on if The Merge will occur on the Ethereum mainnet as described in EIP-3675 (or any...,"Yes: 1, No: 0",All
Will Kevin McCarthy be elected Speaker of the House in the 118th Congress?,will-kevin-mccarthy-be-elected-speaker-of-the-house-in-the-118th-congress,Active,2023-01-04 00:00:00,"The midterm US elections scheduled for November 8, 2022, are expected to be contentious, with a stro...","Yes: 1, No: 0",All
Will @realDonaldTrump tweet in 2022?,will-realdonaldtrump-tweet-in-2022,Active,2022-12-31 00:00:00,"In Response to Trader Inquiry: Retweets do not count for this market's resolution.

Twitter permanen...","Yes: 0, No: 1",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 1?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-1,Active,2022-06-02 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 1, Warriors: 0",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 2?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-2,Active,2022-06-05 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 0, Warriors: 1",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 3?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-3,Active,2022-06-08 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 1, Warriors: 0",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 4?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-4,Active,2022-06-10 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 0, Warriors: 1",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 5?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-5,Active,2022-06-13 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 0, Warriors: 1",All
"Will $ETH be above $1,700 on June 17?",will-eth-be-above-1700-on-june-17,Active,2022-06-17 00:00:00,"This is a market on if the price of Ethereum (ETH) will be above $1,700 in USD on June 17, 2022 (12 ...","Yes: 0, No: 1",All
2022 NBA Finals: Who will win Celtics vs. Warriors Game 6?,2022-nba-finals-who-will-win-celtics-vs-warriors-game-6,Active,2022-06-16 00:00:00,The 2022 NBA Finals is the championship series of the National Basketball Association (NBA)'s 2021–2...,"Celtics: 0.0003, Warriors: 0.9997",All
"Will $ETH be above $1,200 on July 1?",will-eth-be-above-1200-on-july-1,Active,2022-07-01 00:00:00,"This is a market on if the price of Ethereum (ETH) will be above $1,200 in USD on July 1, 2022 (12 P...","Yes: 0, No: 1",All
2022 Wimbledon Championships: Maxime Cressy vs Jack Sock,2022-wimbledon-championships-maxime-cressy-vs-jack-sock,Active,2022-06-30 00:00:00,"The Wimbledon Championships, commonly known as 'The Championships' or simply 'Wimbledon', is the old...","Cressy: 0, Sock: 1",All
2022 Wimbledon Championships: Who will win Djokovic vs. Sinner?,2022-wimbledon-championships-who-will-win-djokovic-vs-sinner,Active,2022-07-05 00:00:00,"The Wimbledon Championships, commonly known as 'The Championships' or simply 'Wimbledon', is the old...","Djokovic: 1, Sinner: 0",All
2022 Wimbledon Championships: Who will win Fritz vs. Nadal?,2022-wimbledon-championships-who-will-win-fritz-vs-nadal,Active,2022-07-06 00:00:00,"The Wimbledon Championships, commonly known as 'The Championships' or simply 'Wimbledon', is the old...","Fritz: 0, Nadal: 1",All
2022 Wimbledon Championships: Who will win Djokovic vs. Norrie?,2022-wimbledon-championships-who-will-win-djokovic-vs-norrie,Active,2022-07-08 00:00:00,"The Wimbledon Championships, commonly known as 'The Championships' or simply 'Wimbledon', is the old...","Djokovic: 0, Norrie: 0",All
[Single Market] Will Gavin Newsom win the U.S. 2024 Democratic presidential nomination?,will-gavin-newsom-win-the-us-2024-democratic-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if Gavin Newsom wins the 2024 nomination of the Democratic Party f...,"Yes: 0.0285, No: 0.9715","Politics, 2024 presidential election, democratic party, us elections, gavin newsom, u.s. presidential election, 2024 election, u.s. politics, presidential nomination, hillary clinton, kamala harris, democrats, u.s. 2024, democratic presidential nomination, dean phillips, u.s. presidential election 2024, robert f. kennedy jr., u.s. election, pete buttigieg, elections 2024, All"
2022 Wimbledon Championships: Who will win Djokovic vs. Kyrgios?,2022-wimbledon-championships-who-will-win-djokovic-vs-kyrgios,Active,2022-07-10 00:00:00,"The Wimbledon Championships, commonly known as 'The Championships' or simply 'Wimbledon', is the old...","Djokovic: 0.81, Kyrgios: 0.19",All
"MLB: Who will win Boston Red Sox vs. Tampa Bay Rays, scheduled for July 11, 7:10 PM ET?",mlb-who-will-win-boston-red-sox-vs-tampa-bay-rays-scheduled-for-july-11-710-pm-et,Active,2022-07-11 00:00:00,"In the upcoming MLB game, scheduled for July 11, 7:10 PM ET:

If the Boston Red Sox win, the market ...","Boston Red Sox: 0, Tampa Bay Rays: 1",All
"MLB: Who will win New York Mets vs. Atlanta Braves, scheduled for July 12, 7:20 PM ET?",mlb-who-will-win-new-york-mets-vs-atlanta-braves-scheduled-for-july-12-720-pm-et,Active,2022-07-12 00:00:00,"In the upcoming MLB game, scheduled for July 12, 7:20 PM ET:

If the New York Mets win, the market w...","Mets: 0, Braves: 1",All
"MLB: Who will win New York Mets v. Chicago Cubs, scheduled for July 14, 8:05 PM ET?",mlb-who-will-win-new-york-mets-v-chicago-cubs-scheduled-for-july-14-805-pm-et,Active,2022-07-14 00:00:00,"In the upcoming MLB game scheduled for July 14, 8:05 PM ET:

If the New York Mets win, this market w...","Mets: 0, Cubs: 0",All
"MLB: Who will win Dodgers vs. Cardinals, scheduled for July 13, 7:45 PM ET?",mlb-who-will-win-dodgers-vs-cardinals-scheduled-for-july-13-745-pm-et,Active,2022-07-13 00:00:00,"In the upcoming MLB game, scheduled for July 13, 7:45 PM ET:

If the Los Angeles Dodgers win, this m...","Dodgers: 0, Cardinals: 0",All
"MLB: Who will win San Francisco Giants v. Los Angeles Dodgers, scheduled for July 22, 10:10 PM ET?",mlb-who-will-win-san-francisco-giants-v-los-angeles-dodgers-scheduled-for-july-22-1010-pm-et,Active,2022-07-22 00:00:00,"In the upcoming MLB game scheduled for July 22, 10:10 PM ET:

If the San Francisco Giants win, this ...","Giants: 0, Dodgers: 0",All
"Will the price of a barrel of crude oil be $100 or more on July 22, 2022?",will-the-price-of-a-barrel-of-crude-oil-be-100-or-more-on-july-22-2022,Active,2022-07-22 00:00:00,This is a market on whether the price of crude oil will be at $100.00 or higher as of market close o...,"Yes: 0, No: 1",All
"MLB: Who will win Atlanta Braves v. Philadelphia Phillies, scheduled for July 25, 7:05 PM ET?",mlb-who-will-win-atlanta-braves-v-philadelphia-phillies-scheduled-for-july-25-705-pm-et,Active,2022-07-25 00:00:00,"In the upcoming MLB game scheduled for July 25, 7:05 PM ET:

If the Atlanta Braves win, this market ...","Braves: 0.64, Phillies: 0.36",All
"MLB: Who will win New York Yankees v. New York Mets, scheduled for July 26, 7:10 PM ET?",mlb-who-will-win-new-york-yankees-v-new-york-mets-scheduled-for-july-26-710-pm-et,Active,2022-07-26 00:00:00,"In the upcoming MLB game scheduled for July 26, 7:10 PM ET:

If the New York Yankees win, this marke...","Yankees: 0, Mets: 0",All
"MLB: Who will win Chicago Cubs v. San Francisco Giants, scheduled for July 28, 9:45 PM ET?",mlb-who-will-win-chicago-cubs-v-san-francisco-giants-scheduled-for-july-28-945-pm-et,Active,2022-07-29 00:00:00,"In the upcoming MLB game scheduled for July 28, 9:45 PM ET:

If the Chicago Cubs win, this market wi...","Cubs: 0, Giants: 0",All
"MLB: Who will win Cleveland Guardians v. Boston Red Sox, scheduled for July 27, 7:10 PM ET?",mlb-who-will-win-cleveland-guardians-v-boston-red-sox-scheduled-for-july-27-710-pm-et,Active,2022-07-27 00:00:00,"In the upcoming MLB game scheduled for July 27, 7:10 PM ET:

If the Cleveland Guardians win, this ma...","Guardians: 0, Red Sox: 0",All
"MLB: Who will win Toronto Blue Jays v. Tampa Bay Rays, scheduled for August 2, 7:10 PM ET?",mlb-who-will-win-toronto-blue-jays-v-tampa-bay-rays-scheduled-for-august-2-710-pm-et,Active,2022-08-02 00:00:00,"In the upcoming MLB game scheduled for August 2, 7:10 PM ET:

If the Toronto Blue Jays win, this mar...","Blue Jays: 0, Rays: 0",All
"NFL Preseason: Who will win Jacksonville Jaguars v. Las Vegas Raiders, scheduled for August 4, 8:00 PM ET?",nfl-preseason-who-will-win-jacksonville-jaguars-v-las-vegas-raiders-scheduled-for-august-4-800-pm-et,Active,2022-08-04 00:00:00,"In the upcoming NFL preseason game scheduled for August 4, 8:00 PM ET:

If the Jacksonville Jaguars ...","Jaguars: 0, Raiders: 0",All
"MLB: Who will win Atlanta Braves v. Boston Red Sox, scheduled for August 9, 7:10 PM ET?",mlb-who-will-win-atlanta-braves-v-boston-red-sox-scheduled-for-august-9-710-pm-et,Active,2022-08-09 00:00:00,"In the upcoming MLB game scheduled for August 9, 7:10 PM ET:

If the Atlanta Braves win, this market...","Braves: 0, Red Sox: 0",All
"MLB: Who will win Minnesota Twins v. Los Angeles Dodgers, scheduled for August 10, 10:10 PM ET?",mlb-who-will-win-minnesota-twins-v-los-angeles-dodgers-scheduled-for-august-10-1010-pm-et,Active,2022-08-10 00:00:00,"In the upcoming MLB game scheduled for August 10, 10:10 PM ET:

If the Minnesota Twins win, this mar...","Twins: 0, Dodgers: 0",All
"MLB: Who will win New York Yankees v. Boston Red Sox, scheduled for August 14, 7:08 PM ET?",mlb-who-will-win-new-york-yankees-v-boston-red-sox-scheduled-for-august-14-708-pm-et,Active,2022-08-14 00:00:00,"In the upcoming MLB game scheduled for August 14, 7:08 PM ET:

If the New York Yankees win, this mar...","Yankees: 0, Red Sox: 0",All
"NFL Preseason: Who will win Minnesota Vikings v. Las Vegas Raiders, scheduled for August 14, 4:25 PM ET?",nfl-preseason-who-will-win-minnesota-vikings-v-las-vegas-raiders-scheduled-for-august-14-425-pm-et,Active,2022-08-14 00:00:00,"In the upcoming NFL preseason game scheduled for August 14, 4:25 PM ET:

If the Minnesota Vikings wi...","Vikings: 0, Raiders: 0",All
Premier League: Who will win the Crystal Palace vs. Liverpool game on August 15?,premier-league-who-will-win-the-crystal-palace-vs-liverpool-game-on-august-15,Active,2022-08-15 00:00:00,"In the upcoming Premier League soccer game, scheduled for August 15:

If the Crystal Palace F.C. win...","Crystal Palace: 0, Liverpool: 0",All
"MLB: Who will win San Diego Padres v. Miami Marlins, scheduled for August 15, 6:40 PM ET?",mlb-who-will-win-san-diego-padres-v-miami-marlins-scheduled-for-august-15-640-pm-et,Active,2022-08-15 00:00:00,"In the upcoming MLB game scheduled for August 15, 6:40 PM ET:

If the San Diego Padres win, this mar...","Padres: 0, Marlins: 0",All
"MLB: Who will win New York Mets v. Atlanta Braves, scheduled for August 16, 7:20 PM ET?",mlb-who-will-win-new-york-mets-v-atlanta-braves-scheduled-for-august-16-720-pm-et,Active,2022-08-16 00:00:00,"In the upcoming MLB game scheduled for August 16, 7:20 PM ET:

If the New York Mets win, this market...","Mets: 0, Braves: 0",All
"MLB: Who will win Los Angeles Dodgers v. Milwaukee Brewers, scheduled for August 17, 8:10 PM ET?",mlb-who-will-win-los-angeles-dodgers-v-milwaukee-brewers-scheduled-for-august-17-810-pm-et,Active,2022-08-17 00:00:00,"In the upcoming MLB game scheduled for August 17, 8:10 PM ET:

If the Los Angeles Dodgers win, this ...","Dodgers: 0, Brewers: 0",All
"MLB: Who will win Boston Red Sox v. Baltimore Orioles, scheduled for August 21, 7:10 PM ET?",mlb-who-will-win-boston-red-sox-v-baltimore-orioles-scheduled-for-august-21-710-pm-et,Inactive,2022-08-21 00:00:00,"In the upcoming MLB game scheduled for August 21, 7:10 PM ET:

If the Boston Red Sox win, this marke...","Red Sox: 0, Orioles: 1",All
"MLB: Who will win Cleveland Guardians v. San Diego Padres, scheduled for August 23, 9:40 PM ET?",mlb-who-will-win-cleveland-guardians-v-san-diego-padres-scheduled-for-august-23-940-pm-et,Active,2022-08-24 00:00:00,"In the upcoming MLB game scheduled for August 23, 9:40 PM ET:

If the Cleveland Guardians win, this ...","Guardians: 0, Padres: 0",All
"Will Donald J. Trump be indicted by March 31, 2023?",will-donald-j-trump-be-indicted-by-march-31-2023,Active,2023-03-31 00:00:00,This market will resolve to “Yes” if any Federal or State jurisdiction of the United States unseals ...,"Yes: 1, No: 0",All
Will Miles Bridges play an NBA game in the 2022-23 regular season?,will-miles-bridges-play-an-nba-game-in-the-2022-23-regular-season,Active,2023-04-09 00:00:00,"Miles Bridges is a National Basketball Association (NBA) player with the Charlotte Hornets. In July,...","Yes: 0, No: 1",All
Will Erling Haaland break the Premier League goals record in the 22/23 season? (34 goals),will-erling-haaland-break-the-premier-league-goals-record-in-the-2223-season-34-goals,Active,2023-05-28 00:00:00,"The Premier League's 2022/23 season started on August 6, 2022, and the final match round is schedule...","Yes: 1, No: 0",All
[Single Market] Will Mike Pence win the U.S. 2024 Republican presidential nomination?,will-mike-pence-win-the-us-2024-republican-presidential-nomination,Active,2024-09-10 00:00:00,This market will resolve to “Yes” if former US vice president Michael Richard Pence wins the 2024 no...,"Yes: 0, No: 1","Politics, tim scott, republican party, vivek ramaswamy, republicans, 2024 presidential election, u.s. 2024 elections, Trump, u.s. 2024 republican presidential nomination, Elections, ron desantis, u.s. presidential election, ben shapiro, 2024 election, joe rogan, kanye west, u.s. politics, presidential nomination, donald trump jr., presidential election 2024, glenn youngkin, chris christie, mike pence, peter thiel, u.s. presidency, 2024 republican presidential nomination, All"
"Will 'Avatar: The Way of Water' gross more than $650 million domestically by January 31, 2023?",will-avatar-the-way-of-water-gross-more-than-650-million-domestically-by-january-31-2023,Active,2023-01-31 00:00:00,'Avatar: The Way of Water' (2022) is an upcoming American action adventure fantasy sci-fi film produ...,"Yes: 0, No: 1",All
Will SBF be federally indicted by EOY?,will-sbf-be-federally-indicted-by-eoy,Active,2022-12-31 00:00:00,"This market will resolve to ""Yes"" if Samuel Bankman-Fried, co-founder and CEO of FTX, is indicted on...","Yes: 0.9998, No: 0.0002",All
Will U.S. inflation be more than 0.1% from October to November 2022?,will-us-inflation-be-more-than-0pt1-from-october-to-november-2022,Active,2022-12-13 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0.0003, No: 0.9997",All
Will U.S. inflation be more than 0.2% from October to November 2022?,will-us-inflation-be-more-than-0pt2-from-october-to-november-2022,Active,2022-12-13 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0.0004, No: 0.9996",All
Will U.S. inflation be more than 0.3% from October to November 2022?,will-us-inflation-be-more-than-0pt3-from-october-to-november-2022,Active,2022-12-13 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0.0001, No: 0.9999",All
Will U.S. inflation be more than 0.4% from October to November 2022?,will-us-inflation-be-more-than-0pt4-from-october-to-november-2022,Active,2022-12-13 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 0.0006, No: 0.9994",All
Will Argentina win the 2022 World Cup?,will-argentina-win-the-2022-world-cup,Active,2022-12-18 00:00:00,In Response to Trader Inquiry: This market may immediately resolve to “No” if the team is eliminated...,"Yes: 0.9993, No: 0.0007",All
Will France win the 2022 World Cup?,will-france-win-the-2022-world-cup,Active,2022-12-18 00:00:00,In Response to Trader Inquiry: This market may immediately resolve to “No” if the team is eliminated...,"Yes: 0.0004, No: 0.9996",All
Will Croatia win the 2022 World Cup?,will-croatia-win-the-2022-world-cup,Active,2022-12-18 00:00:00,In Response to Trader Inquiry: This market may immediately resolve to “No” if the team is eliminated...,"Yes: 0.0002, No: 0.9998",All
Will Morocco win the 2022 World Cup?,will-morocco-win-the-2022-world-cup,Active,2022-12-18 00:00:00,In Response to Trader Inquiry: This market may immediately resolve to “No” if the team is eliminated...,"Yes: 0.0003, No: 0.9997",All
Will 'Avatar: The Way of Water' gross more than $175 million domestically on its opening weekend?,will-avatar-the-way-of-water-gross-more-than-175-million-domestically-on-its-opening-weekend,Active,2022-12-19 00:00:00,'Avatar: The Way of Water' (2022) is an upcoming American action adventure fantasy sci-fi film produ...,"Yes: 0, No: 1",All
Will SBF attend Maxine Water's Congressional hearing?,will-sbf-attend-maxine-waters-congressional-hearing,Active,2022-12-13 00:00:00,Maxine Waters has invited Samuel Bankman-Fried (SBF) to appear before congress on December 13 to par...,"Yes: 0, No: 1",All
World Cup: Saturday - France vs. England,world-cup-saturday-france-vs-england,Active,2022-12-10 00:00:00,"In the upcoming World Cup Quarter-finals soccer game, scheduled for December 10:  

If France wins, ...","France: 0.9999, England: 0.0001",All
World Cup: Saturday - Portugal vs. Morocco,world-cup-saturday-portugal-vs-morocco,Active,2022-12-10 00:00:00,"In the upcoming World Cup Quarter-finals soccer game, scheduled for December 10:  

If Portugal wins...","Portugal: 0, Morocco: 1",All
World Cup: Tuesday - Argentina vs. Croatia,world-cup-tuesday-argentina-vs-croatia,Active,2022-12-13 00:00:00,"In the upcoming World Cup Semifinals soccer game, scheduled for December 13:  

If Argentina wins, t...","Argentina: 0.9999, Croatia: 0.0001",All
World Cup: Wednesday - France vs. Morocco,world-cup-wednesday-france-vs-morocco,Active,2022-12-14 00:00:00,"In the upcoming World Cup Semifinals soccer game, scheduled for December 14:  

If France wins, this...","France: 0.9997, Morocco: 0.0003",All
Will Caroline Ellison be federally charged by March 31?,will-caroline-ellison-be-federally-charged-by-march-31,Active,2023-03-31 00:00:00,"This market will resolve to ""Yes"" if Caroline Ellison, former CEO of Alameda Research, is indicted o...","Yes: 1, No: 0",All
Will Sam Trabucco be federally charged by March 31?,will-sam-trabucco-be-federally-charged-by-march-31,Active,2023-03-31 00:00:00,"This market will resolve to ""Yes"" if Sam Trabucco, former co-CEO of Alameda Research, is indicted on...","Yes: 0, No: 1",All
Will U.S. inflation be greater than -0.3% from November to December 2022?,will-us-inflation-be-greater-than-0pt3-from-november-to-december-2022,Active,2023-01-12 00:00:00,"This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U...","Yes: 1, No: 0",All
